Cycle,Year,DailyGDP,CyclyGDP,Population,GDPperCapita,Unemployment,Inflation
156,0.427397,376.023,1.0302,102,3.6865,0.0980392,4.44062e-14
157,0.430137,368.023,1.00828,102,3.60807,0.0980392,-2.22031e-14
158,0.432877,376.023,1.0302,102,3.6865,0.0980392,2.22031e-14
159,0.435616,356.022,0.975403,102,3.49041,0.0980392,-4.44062e-14
160,0.438356,372.023,1.01924,102,3.64729,0.0980392,2.22031e-14
161,0.441096,352.022,0.964444,102,3.4512,0.0980392,-2.22031e-14
162,0.443836,372.023,1.01924,102,3.64729,0.0980392,2.22031e-14
163,0.446575,360.022,0.986363,102,3.52963,0.0980392,0
164,0.449315,392.024,1.07404,102,3.84338,0.0980392,2.22031e-14
165,0.452055,364.023,0.997322,102,3.56885,0.0980392,-2.22031e-14
166,0.454795,372.023,1.01924,102,3.64729,0.0980392,0
167,0.457534,380.024,1.04116,102,3.72572,0.0980392,2.22031e-14
168,0.460274,348.022,0.953484,102,3.41198,0.0980392,-4.44062e-14
169,0.463014,388.024,1.06308,102,3.80416,0.0980392,4.44062e-14
170,0.465753,388.024,1.06308,102,3.80416,0.0980392,0
171,0.468493,388.024,1.06308,102,3.80416,0.0980392,0
172,0.471233,360.022,0.986363,102,3.52963,0.0980392,-2.22031e-14
173,0.473973,388.024,1.06308,102,3.80416,0.0980392,2.22031e-14
174,0.476712,376.023,1.0302,102,3.6865,0.0980392,0
175,0.479452,360.022,0.986363,102,3.52963,0.0980392,-2.22031e-14
176,0.482192,360.022,0.986363,102,3.52963,0.0980392,0
177,0.484932,376.023,1.0302,102,3.6865,0.0980392,2.22031e-14
178,0.487671,356.022,0.975403,102,3.49041,0.0980392,-4.44062e-14
179,0.490411,372.023,1.01924,102,3.64729,0.0980392,2.22031e-14
180,0.493151,376.023,1.0302,102,3.6865,0.0980392,2.22031e-14
181,0.49589,360.022,0.986363,102,3.52963,0.0980392,-2.22031e-14
182,0.49863,380.024,1.04116,103,3.68955,0.106796,2.22031e-14
183,0.50137,376.023,1.0302,103,3.65071,0.106796,0
